iter	RMSE
0	10.18197423
1	9.634213672
2	9.143931387
3	8.692187112
4	8.292966858
5	7.928774019
6	7.605373624
7	7.304960278
8	7.040789786
9	6.812693055
10	6.60019688
11	6.410035169
12	6.235410327
13	6.082563129
14	5.946978384
15	5.829924935
16	5.725152512
17	5.626346343
18	5.542671575
19	5.469749493
20	5.405143154
21	5.344615709
22	5.288763099
23	5.242831244
24	5.204578315
25	5.170693214
26	5.129663743
27	5.093628059
28	5.059000725
29	5.030785965
30	5.006767348
31	4.984813038
32	4.956663973
33	4.936098411
34	4.91551498
35	4.895974299
36	4.880300533
37	4.85301008
38	4.83786633
39	4.823027864
40	4.809772881
41	4.791524758
42	4.780486162
43	4.769238954
44	4.754879126
45	4.747256159
46	4.7382842
47	4.720211444
48	4.70854445
49	4.701687326
50	4.695331321
51	4.684197626
52	4.672205174
53	4.667938397
54	4.659415778
55	4.650744275
56	4.644335587
57	4.640115371
58	4.634137975
59	4.628053923
60	4.624424779
61	4.618560928
62	4.614401962
63	4.606912211
64	4.604397478
65	4.594803268
66	4.58509372
67	4.5781085
68	4.571942832
69	4.563088254
70	4.56152146
71	4.553296902
72	4.546845808
73	4.542024695
74	4.538788666
75	4.537133281
76	4.52937446
77	4.523378343
78	4.518854303
79	4.513578197
80	4.507109617
81	4.505731021
82	4.499959205
83	4.491905233
84	4.486080411
85	4.480385136
86	4.469763576
87	4.46732391
88	4.465731786
89	4.462320841
90	4.457567316
91	4.454995569
92	4.449627751
93	4.442880621
94	4.438796629
95	4.43389058
96	4.432489592
97	4.428004214
98	4.416214235
99	4.412582017
100	4.407233699
101	4.40616492
102	4.401476008
103	4.399918964
104	4.394477227
105	4.388631315
106	4.385333956
107	4.384601105
108	4.377612943
109	4.376979007
110	4.373663548
111	4.370243682
112	4.365879939
113	4.362245479
114	4.359329587
115	4.355499951
116	4.351930042
117	4.348209109
118	4.342077822
119	4.333187178
120	4.33073176
121	4.32613829
122	4.324271227
123	4.318594133
124	4.315265943
125	4.313565527
126	4.31096739
127	4.309509742
128	4.308497317
129	4.304668469
130	4.300315629
131	4.297404252
132	4.294394943
133	4.291015158
134	4.286486791
135	4.284277773
136	4.281871944
137	4.277740675
138	4.276820967
139	4.275076661
140	4.27270643
141	4.268211494
142	4.266489847
143	4.264168679
144	4.259697144
145	4.258750471
146	4.257063011
147	4.252717872
148	4.248076045
149	4.245364681
150	4.242435453
151	4.238233395
152	4.234981669
153	4.231329646
154	4.228588324
155	4.227389085
156	4.224608104
157	4.221831859
158	4.216857602
159	4.213174689
160	4.210523384
161	4.209180786
162	4.205900101
163	4.201199359
164	4.197348129
165	4.194866834
166	4.192410057
167	4.188672347
168	4.184964082
169	4.182532921
170	4.179508167
171	4.178119329
172	4.17498133
173	4.171609289
174	4.169975839
175	4.167731552
176	4.163561168
177	4.160221204
178	4.159272997
179	4.157686273
180	4.153389059
181	4.151860868
182	4.15103591
183	4.148327787
184	4.143403887
185	4.139933389
186	4.138656578
187	4.136378226
188	4.133562904
189	4.130263566
190	4.127474114
191	4.123733201
192	4.121720675
193	4.118826896
194	4.116751417
195	4.114696842
196	4.110598173
197	4.106273522
198	4.102609829
199	4.100370997
200	4.097910155
201	4.095429733
202	4.091380137
203	4.089217515
204	4.08580884
205	4.083334923
206	4.07739247
207	4.075946992
208	4.074230837
209	4.072838287
210	4.070432204
211	4.06853135
212	4.066794485
213	4.064710707
214	4.063782191
215	4.061820094
216	4.058787175
217	4.056493169
218	4.054812449
219	4.053344264
220	4.050924615
221	4.04750923
222	4.046755711
223	4.042587742
224	4.040999391
225	4.037875545
226	4.035618336
227	4.030911184
228	4.024635244
229	4.021971741
230	4.019825344
231	4.017045986
232	4.014387561
233	4.012844493
234	4.009465968
235	4.006099727
236	4.003658788
237	4.000342349
238	3.999182619
239	3.998216143
240	3.994817251
241	3.99139616
242	3.988787239
243	3.9872912
244	3.985844742
245	3.98285055
246	3.980500368
247	3.978857343
248	3.975067381
249	3.972088486
250	3.96964982
251	3.967983303
252	3.965260747
253	3.961549741
254	3.959774323
255	3.957671131
256	3.954261452
257	3.951318972
258	3.949979265
259	3.948269196
260	3.946234886
261	3.944962415
262	3.942195004
263	3.941066194
264	3.93826629
265	3.935878859
266	3.933742473
267	3.933065402
268	3.931827007
269	3.929381914
270	3.926438616
271	3.924611796
272	3.922865978
273	3.922137783
274	3.921498953
275	3.919272432
276	3.918168699
277	3.916516001
278	3.914848906
279	3.912097015
280	3.909051186
281	3.907918916
282	3.905596565
283	3.904175505
284	3.903488738
285	3.900254683
286	3.898613712
287	3.895962823
288	3.892547277
289	3.890432216
290	3.887469772
291	3.886039601
292	3.883271537
293	3.879244653
294	3.876971596
295	3.874730647
296	3.871775701
297	3.870412321
298	3.869136284
299	3.867357368
300	3.866042786
301	3.865133073
302	3.863964683
303	3.861836489
304	3.8602755
305	3.857852374
306	3.857345919
307	3.855237768
308	3.852863939
309	3.848798463
310	3.846092404
311	3.844048882
312	3.841772499
313	3.841033893
314	3.840063828
315	3.83830683
316	3.836103383
317	3.835157818
318	3.834572399
319	3.834119903
320	3.832245145
321	3.830633587
322	3.829883323
323	3.82802134
324	3.82592932
325	3.824767527
326	3.822941434
327	3.819115521
328	3.818144761
329	3.816443175
330	3.814324226
331	3.812011423
332	3.810185319
333	3.808427989
334	3.807725659
335	3.805828364
336	3.803988437
337	3.803281866
338	3.801028165
339	3.798784672
340	3.797249918
341	3.794899814
342	3.79273282
343	3.791031602
344	3.789502049
345	3.788271288
346	3.785551161
347	3.783542185
348	3.781166103
349	3.77996853
350	3.779283247
351	3.778127908
352	3.776279321
353	3.774801055
354	3.772499455
355	3.771260303
356	3.769646264
357	3.768414821
358	3.76641835
359	3.764522341
360	3.761785739
361	3.761403356
362	3.759681939
363	3.758545181
364	3.757361501
365	3.754148927
366	3.752672586
367	3.752149725
368	3.751197414
369	3.749827046
370	3.748376845
371	3.74695386
372	3.745469948
373	3.743470236
374	3.742466406
375	3.74010398
376	3.738862152
377	3.737204696
378	3.736318398
379	3.733263325
380	3.731129481
381	3.729803167
382	3.729415707
383	3.728364868
384	3.727412493
385	3.726988226
386	3.724718634
387	3.723282802
388	3.722924368
389	3.722281537
390	3.720027671
391	3.718780831
392	3.716868716
393	3.715626161
394	3.714482841
395	3.71176672
396	3.71052391
397	3.708112059
398	3.705592633
399	3.704618954
400	3.701627632
401	3.699739644
402	3.698537752
403	3.697324194
404	3.696593463
405	3.694969553
406	3.693570349
407	3.692244432
408	3.691199676
409	3.690754145
410	3.689078385
411	3.687598076
412	3.686262236
413	3.684087031
414	3.683021257
415	3.681612585
416	3.68044912
417	3.679618469
418	3.678276607
419	3.677911203
420	3.676971903
421	3.675401826
422	3.674495078
423	3.672997089
424	3.672234822
425	3.669816705
426	3.668193425
427	3.667221555
428	3.666306364
429	3.664898017
430	3.663455696
431	3.661929951
432	3.661262163
433	3.660066977
434	3.658856633
435	3.657494881
436	3.656518619
437	3.65498845
438	3.65402005
439	3.653184787
440	3.652808707
441	3.651783473
442	3.65143502
443	3.649882243
444	3.64793693
445	3.646727192
446	3.644525813
447	3.643987673
448	3.642917821
449	3.641897622
450	3.641379568
451	3.639763174
452	3.638560821
453	3.637654476
454	3.636860288
455	3.633846177
456	3.632727663
457	3.631169192
458	3.630106422
459	3.628846012
460	3.627746712
461	3.627252695
462	3.626034473
463	3.624598452
464	3.623544312
465	3.62278458
466	3.621872105
467	3.620349102
468	3.618885454
469	3.61821292
470	3.615634716
471	3.61459119
472	3.613453687
473	3.612102115
474	3.61132575
475	3.609775423
476	3.608514778
477	3.606944128
478	3.605397828
479	3.604683794
480	3.603951776
481	3.602370954
482	3.600819878
483	3.599332525
484	3.598900778
485	3.598153389
486	3.59684539
487	3.595253152
488	3.593953954
489	3.592373154
490	3.591677802
491	3.591292911
492	3.589927384
493	3.589140433
494	3.588735724
495	3.587192215
496	3.58631024
497	3.585296888
498	3.584574489
499	3.584114833
500	3.582917758
501	3.582300833
502	3.580588958
503	3.579187619
504	3.578553202
505	3.577848981
506	3.576892519
507	3.575899886
508	3.57469393
509	3.573610946
510	3.573287462
511	3.572698544
512	3.57137385
513	3.569745006
514	3.568735923
515	3.566737177
516	3.565901179
517	3.56553429
518	3.563790532
519	3.562557328
520	3.562328826
521	3.561046482
522	3.560221327
523	3.559805175
524	3.559572078
525	3.557287583
526	3.556084189
527	3.555494493
528	3.554707615
529	3.552629594
530	3.551751052
531	3.551173498
532	3.550531383
533	3.549981541
534	3.54851721
535	3.54713612
536	3.54637223
537	3.545372583
538	3.54469407
539	3.542599443
540	3.541209355
541	3.539292765
542	3.538259426
543	3.537880759
544	3.536654294
545	3.535806688
546	3.534910967
547	3.533794671
548	3.532988816
549	3.531683451
550	3.530632068
551	3.529913514
552	3.528778093
553	3.528271088
554	3.527253717
555	3.526673445
556	3.526265588
557	3.525553173
558	3.524602318
559	3.522596561
560	3.521168502
561	3.520102349
562	3.517419688
563	3.516817896
564	3.51516228
565	3.514301483
566	3.513360888
567	3.511641759
568	3.51134149
569	3.510281607
570	3.509043889
571	3.507709758
572	3.506622557
573	3.50492061
574	3.503963461
575	3.503152921
576	3.501551011
577	3.500490524
578	3.49937495
579	3.498528366
580	3.497579262
581	3.496305023
582	3.495596499
583	3.495128554
584	3.494648065
585	3.493948039
586	3.4924012
587	3.491259869
588	3.490145414
589	3.489379636
590	3.489148576
591	3.488814313
592	3.486501081
593	3.485510512
594	3.484630297
595	3.483948153
596	3.482758496
597	3.482402475
598	3.480538063
599	3.479365758
600	3.478145511
601	3.477309541
602	3.476329986
603	3.475879622
604	3.474658947
605	3.473236767
606	3.472550775
607	3.471580673
608	3.470693691
609	3.470199506
610	3.469113145
611	3.468552818
612	3.467664904
613	3.466580079
614	3.465110257
615	3.464899328
616	3.463857934
617	3.463103917
618	3.462493435
619	3.462276218
620	3.46122157
621	3.460684554
622	3.459143789
623	3.457812136
624	3.4564453
625	3.455790384
626	3.4549294
627	3.453951717
628	3.452787828
629	3.45171171
630	3.450752074
631	3.449894652
632	3.449316092
633	3.448016004
634	3.447435781
635	3.446695468
636	3.445595181
637	3.444990541
638	3.444124065
639	3.443594201
640	3.442099841
641	3.440770008
642	3.43976387
643	3.438557547
644	3.438125564
645	3.437033924
646	3.436040314
647	3.435496332
648	3.43484283
649	3.433761245
650	3.432901997
651	3.432293487
652	3.431393778
653	3.43071989
654	3.430192813
655	3.428346067
656	3.427433948
657	3.42656014
658	3.42573511
659	3.424818297
660	3.4241152
661	3.423272373
662	3.422767745
663	3.42182692
664	3.420512239
665	3.419382957
666	3.419097863
667	3.418262785
668	3.417806382
669	3.41712847
670	3.416066893
671	3.415769564
672	3.414930943
673	3.414723488
674	3.413851595
675	3.413173643
676	3.412645067
677	3.412028269
678	3.411606405
679	3.41099104
680	3.410488865
681	3.409852323
682	3.409025057
683	3.408589983
684	3.408021711
685	3.407585045
686	3.405712387
687	3.404451138
688	3.403599462
689	3.402805511
690	3.402215288
691	3.401764176
692	3.401062947
693	3.400707095
694	3.400284765
695	3.399629082
696	3.399118648
697	3.398228528
698	3.39737343
699	3.395771161
700	3.39524261
701	3.395077531
702	3.393036044
703	3.39171329
704	3.390970653
705	3.38997199
706	3.389080449
707	3.388102919
708	3.387112487
709	3.3862477
710	3.385579955
711	3.385161159
712	3.383613873
713	3.382846199
714	3.382116335
715	3.381239144
716	3.380670073
717	3.379868375
718	3.37932448
719	3.37841911
720	3.37789219
721	3.377156333
722	3.376573486
723	3.375209124
724	3.37465843
725	3.373933245
726	3.373038361
727	3.372674067
728	3.372264568
729	3.37162488
730	3.370906419
731	3.369603123
732	3.368615289
733	3.368045236
734	3.367417177
735	3.366696179
736	3.366376599
737	3.36549747
738	3.364874586
739	3.364249786
740	3.363937677
741	3.363431971
742	3.363171089
743	3.362541625
744	3.36147167
745	3.359476806
746	3.359096869
747	3.358639168
748	3.358206476
749	3.357131811
750	3.35642561
751	3.354985037
752	3.354203941
753	3.353647657
754	3.352508308
755	3.351165726
756	3.350677231
757	3.350115146
758	3.349760814
759	3.349499204
760	3.349112536
761	3.348383096
762	3.347497915
763	3.346752908
764	3.346103202
765	3.345943984
766	3.345220527
767	3.344283266
768	3.343450716
769	3.342542364
770	3.341736882
771	3.341004307
772	3.340150634
773	3.339301295
774	3.338747904
775	3.338472953
776	3.337413066
777	3.335744579
778	3.334954783
779	3.33421724
780	3.333816275
781	3.333306601
782	3.332659654
783	3.331152816
784	3.329528155
785	3.329102212
786	3.32798881
787	3.32744449
788	3.32570541
789	3.325412581
790	3.323536941
791	3.322777014
792	3.321977493
793	3.32102245
794	3.320406092
795	3.319654333
796	3.319189199
797	3.318358669
798	3.317867358
799	3.317359488
800	3.317027952
801	3.316266714
802	3.315487539
803	3.314582755
804	3.314178186
805	3.313584753
806	3.313276165
807	3.312850725
808	3.312238134
809	3.311262091
810	3.310645135
811	3.309864185
812	3.30951043
813	3.30903228
814	3.308593899
815	3.308171824
816	3.307379932
817	3.306296032
818	3.305676594
819	3.304839921
820	3.304069665
821	3.30375976
822	3.303279392
823	3.302139617
824	3.301762856
825	3.300751589
826	3.30024334
827	3.299778599
828	3.299129342
829	3.298273805
830	3.297831675
831	3.297261797
832	3.297001281
833	3.296188744
834	3.295883937
835	3.295295841
836	3.294318391
837	3.293392627
838	3.292949475
839	3.292791205
840	3.292257269
841	3.291392506
842	3.290822775
843	3.290503521
844	3.289886892
845	3.289095916
846	3.288172398
847	3.287382722
848	3.286556592
849	3.285872752
850	3.285299648
851	3.284741311
852	3.283954876
853	3.283740162
854	3.283276626
855	3.282525585
856	3.282205944
857	3.281546002
858	3.281085618
859	3.280262545
860	3.279632632
861	3.278607639
862	3.278024481
863	3.277620897
864	3.277302907
865	3.276373651
866	3.275852702
867	3.275209025
868	3.274585249
869	3.273938317
870	3.273279235
871	3.272936206
872	3.272272496
873	3.271407086
874	3.270656288
875	3.269928513
876	3.269254424
877	3.268353515
878	3.267712499
879	3.267243074
880	3.266137924
881	3.265799795
882	3.26509216
883	3.264412115
884	3.263535052
885	3.26284561
886	3.261784496
887	3.261071766
888	3.26045597
889	3.259366333
890	3.258570254
891	3.258054
892	3.257216154
893	3.256588097
894	3.255997208
895	3.255538562
896	3.255029858
897	3.25374897
898	3.252919225
899	3.252071151
900	3.251545442
901	3.250480411
902	3.249848707
903	3.249669327
904	3.249251397
905	3.248882836
906	3.247444944
907	3.246700272
908	3.246383339
909	3.245959892
910	3.245586605
911	3.245014395
912	3.244455653
913	3.243926478
914	3.243501488
915	3.243232861
916	3.242835947
917	3.242390153
918	3.24197456
919	3.241061788
920	3.240933554
921	3.240572183
922	3.24001357
923	3.239343633
924	3.238330968
925	3.237884753
926	3.236785938
927	3.23644187
928	3.235685267
929	3.234726001
930	3.234434026
931	3.233984264
932	3.233253073
933	3.232301339
934	3.231628257
935	3.230948488
936	3.23053602
937	3.230072462
938	3.229459186
939	3.229016052
940	3.228161889
941	3.227796763
942	3.227336356
943	3.226298826
944	3.225877519
945	3.225594415
946	3.224904976
947	3.224069989
948	3.223362516
949	3.222553209
950	3.222144298
951	3.221692764
952	3.221390212
953	3.220842
954	3.22046669
955	3.219760073
956	3.219224408
957	3.21844011
958	3.217924225
959	3.217242174
960	3.216675357
961	3.216066135
962	3.215533915
963	3.215247588
964	3.214819925
965	3.213878153
966	3.213623149
967	3.213280447
968	3.212578699
969	3.211530357
970	3.210776114
971	3.210417252
972	3.209763673
973	3.20905184
974	3.208609426
975	3.208286867
976	3.207696495
977	3.207056754
978	3.206468213
979	3.206040395
980	3.205647603
981	3.205419754
982	3.204822087
983	3.204292375
984	3.203053542
985	3.202458438
986	3.201871975
987	3.201018057
988	3.200477602
