iter	Passed	Remaining
0	2	480
1	4	469
2	6	430
3	8	422
4	10	412
5	12	403
6	14	396
7	16	398
8	18	391
9	20	391
10	22	390
11	24	383
12	26	377
13	28	375
14	30	372
15	32	369
16	34	367
17	36	367
18	38	362
19	39	358
20	41	355
21	43	350
22	45	348
23	47	348
24	49	346
25	51	344
26	53	343
27	55	341
28	57	338
29	59	334
30	61	334
31	63	332
32	65	328
33	66	327
34	68	324
35	70	320
36	72	319
37	75	321
38	77	318
39	78	315
40	81	314
41	83	313
42	85	311
43	87	311
44	89	309
45	91	307
46	94	307
47	96	305
48	98	303
49	100	300
50	101	297
51	103	294
52	105	292
53	107	290
54	109	287
55	111	285
56	112	283
57	114	280
58	116	277
59	118	275
60	120	273
61	121	271
62	123	269
63	125	266
64	127	264
65	129	262
66	130	259
67	132	257
68	134	255
69	136	253
70	138	251
71	140	249
72	141	246
73	143	245
74	146	243
75	148	241
76	150	241
77	153	239
78	154	237
79	157	235
80	159	233
81	160	231
82	163	229
83	165	228
84	167	226
85	169	224
86	171	223
87	173	221
88	176	219
89	178	217
90	179	215
91	182	213
92	183	211
93	185	209
94	187	207
95	190	206
96	192	204
97	194	202
98	196	200
99	199	199
100	201	197
101	203	195
102	205	193
103	208	192
104	210	190
105	212	188
106	214	186
107	216	184
108	217	181
109	219	179
110	222	178
111	224	176
112	226	174
113	228	172
114	230	170
115	232	168
116	234	166
117	236	164
118	238	162
119	240	160
120	242	158
121	245	156
122	247	155
123	250	153
124	252	151
125	254	149
126	256	147
127	258	145
128	260	143
129	262	141
130	263	138
131	265	136
132	267	135
133	269	132
134	271	130
135	273	128
136	274	126
137	276	124
138	278	122
139	280	120
140	282	118
141	284	116
142	286	114
143	288	112
144	290	110
145	292	108
146	294	106
147	296	104
148	297	101
149	299	99
150	301	97
151	303	95
152	305	93
153	306	91
154	309	89
155	310	87
156	312	85
157	314	83
158	316	81
159	318	79
160	319	77
161	321	75
162	323	73
163	325	71
164	326	69
165	328	67
166	330	65
167	332	63
168	334	61
169	335	59
170	337	57
171	339	55
172	341	53
173	343	51
174	345	49
175	347	47
176	349	45
177	351	43
178	352	41
179	355	39
180	357	37
181	358	35
182	360	33
183	362	31
184	364	29
185	365	27
186	367	25
187	370	23
188	371	21
189	373	19
190	375	17
191	377	15
192	378	13
193	380	11
194	382	9
195	384	7
196	386	5
197	388	3
198	390	1
199	392	0
